,title,price,year,link,brand,age,log_price,log_age,title,year_post,condition,cylinders,drivetrain,fuel,miles,color,transmission,bodytype,text
0,2007 volvo xc70 awd 182k,4300,2007.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2007-volvo-xc70-awd-182k/7788681769.html,volvo,18.0,8.366370301681654,2.8903717578961645,title,2007,excellent, 5 cylinders,missing,gas,182000,grey,automatic,wagon,"2007 Volvo XC70 All Wheel Drive– for sale $4300.00 cash onlyMileage – 182k, No accidents, KBB.com value $4873.00, Clean Virginia Title, no liens.Excellent condition, everything works, very clean, non-smoker, recently detailed, normal wear and scratches. Very reliable and safe car. Tires still have lots of miles on it, see pics., temporary spare tire (donut) with jack.Color  Exterior – Gray , Interior – Black, leather seats in very good condition, no tearsVirginia State Inspection expires March 20253rd Row Seats, 7 seater (incl. driver), last row seats folds into rear cargo spaceP2 Engine, 5 Cylinder 2.5L, Automatic Transmission, All Wheel DriveTiming and drive belt replaced 145k milesHeated Power Seats – Driver and Front Passenger, Adjustable tilt steeringRear entertainment (video) will turn on, we have never use it, has 2 headsets3 keys, Cold A/C, Sunroof, Roof RailsFront bumper has cuts and tears, still in good condition and secure, see pictureCarfax report will be available during viewing"
1,2013 toyota yaris hatchback,3500,2013.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2013-toyota-yaris/7788624971.html,toyota,12.0,8.160518247477505,2.4849066497880004,title,2013,good, 4 cylinders,missing,gas,186000,black,manual,hatchback,"2013 Toyota Yaris186K, manual, black, 2 door30/35mpgBase model, no frills, super reliable and meticulously maintained. Some dents and scratches because it was used as a work vehicle, but mechanically this car is pristine. Just drove from CA to VA without any issue in June. Virginia/clean title. VIN available upon request. 3/25 inspection.Had oil changed, new front brakes, 2 new air filters replaced on 9/12. - records available$3,500 oboradio does not work and the back hatch is stuck- probably easy fixes, I just don't have time. "
2,2014 honda crv ex-l cr-v,13000,2014.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2014-honda-crv-ex-cr/7788420608.html,honda,11.0,9.472704636443673,2.3978952727983707,title,2014,excellent, 4 cylinders,4wd,gas,99374,red,automatic,SUV,"AWD99k milesClean titleInterior grey leather (smells like the new one)3 original keys(2 remote 1 dealer technician)No pet, smokevery low mileageExterior BurgundyNew Michelin TiresAll services recordedNo accident or scratchOriginal first one 1st 1 owner EXLNew platinum battery with 4 years warranty I just got a company truck, I don’t need two cars."
3,2021 toyota tundra 1794 crew max,49900,2021.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2021-toyota-tundra-1794/7788385998.html,toyota,4.0,10.81777628173961,1.3862943611198906,title,2021,excellent, 8 cylinders,4wd,gas,59500,green,automatic,pickup,"VERY RARE 2021 (last of the 5.7L V8) 1794 with Army Green exterior. Amazing truck, very well maintained, and going to be hard to part with. Upgrades in the last 12 months: Diamond Back bed cover (400 lb rating), slightly oversized Nitto Ridge Grappler LT 295/70R18 tires (5K miles on them), Westcott Design (Arizona) leveling kit, which gives 2 1/2"" in the front and 1"" in the rear. Gater floor matts front and rear. Recently went through a pre-purchase inspection at our local Toyota dealership. Truck passed with flying colors, with the exception of an extremley small leak out of the timing chain cover; the repair is covered under the power train warranty and is at the dealership now having the work done (will be ready Weds, 10/2/2024). ONLY selling to replace with a heavy duty truck. CLEAR TITLE in hand. Thanks for looking!"
4,2016 nissan altima sl,4800,2016.0,https://charlottesville.craigslist.org/cto/d/palmyra-2016-nissan-altima-sl/7788212655.html,missing,9.0,8.476371196895983,2.1972245773362196,title,2016,good, 4 cylinders,fwd,gas,173220,grey,automatic,sedan,"2016 Nissan Altima SL(173,220orig. Miles) 2.5Liter 4cyl. 4 door, heated seats, heated steering wheel, sunroof, bluetooth, Bose/ CD stereo system, engine is mechanicallly sound and good. No check engine lights. Solid car. Fully loaded. 4three4nine89onetwo72Cons:Needs new tiresTransmission clutches are starting to slip. Car runs and drives great.$4800.00 O.B.O."
5,buick,4000,,https://charlottesville.craigslist.org/cto/d/waynesboro-buick/7788145297.html,buick,,8.294049640102028,,title,2011,good, 4 cylinders,fwd,gas,164000,brown,automatic,SUV,"2011 model Buick with 160,000 miles runs good call or text  show contact info"
6,2006 buick lacrosse cx,2600,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-buick-lacrosse-cx/7788091829.html,buick,19.0,7.8632667240095735,2.9444389791664403,title,2006,missing,missing,missing,gas,150000,missing,automatic,sedan,"2006 Buick Lacrosse CX 6 cylinderPewter with tan leather seatsCar is cleanNo engine or transmission problemsA/C & heat both workStereo CD playerIt has 150k original milesGood on gasGreat tiresshow contact info call or text$2,600 cash only    "
7,2005 ford f-150 2wd- not running,1000,2005.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2005-ford-150-2wd-not/7788041184.html,ford,20.0,6.907755278982137,2.995732273553991,title,2005,fair, 6 cylinders,fwd,gas,280000,white,automatic,pickup,"2005 Ford F-150 2WD needs computer. Good for parts. New transmission 25K ago, long bed (8'), bed mat, 6 cylinder, automatic, am/fm stereo. Plain truck, some minor body damage on the passenger side, and the tailgate got banged up a bit but opens and closes just fine. It will need to be flat-bedded/towed from Malloy Ford."
8,2008 subaru impreza,2000,2008.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2008-subaru-impreza/7787924583.html,subaru,17.0,7.600902459542082,2.833213344056216,title,2008,fair, 4 cylinders,4wd,gas,169868,brown,automatic,hatchback,"Used Subaru Impreza, fair condition Clean title in handNew brakes and rotors Summer 2024.AC does not work without a new compressorDid not pass inspection when last tried, paperwork is in hand"
9,2018 tesla model 3 mid range or 2018 tesla model s75d awd,16900,2018.0,https://charlottesville.craigslist.org/cto/d/henrico-2018-tesla-model-mid-range-or/7787917504.html,tesla,7.0,9.735068900911164,1.9459101490553132,title,2018,excellent,missing,rwd,electric,126000,missing,automatic,sedan,"DUE TO SPAM, YOUR EMAIL RESPONSE MUST INCLUDE YOUR PHONE NUMBER, OR THE EMAIL WILL BE IGNORED, NO EXCEPTIONSStill available if you can see it.Must call or leave your contact number if you are interested.It has 125K miles.The Model 3 Mid-range is EPA-rated for 260 miles of range.Runs smooth. Everything works as it should.The battery is in excellent condition.Autopilot 2.5.Glass roof, heated seat front and rear.Its not a prior rental vehicle.5YJ3E1EA0JF152241Full self driving is availble for $99/mo.Youtube: https://youtu.be/w8bYzh6bhhIhttps://youtu.be/z4p5rQymcZw2018 Tesla Model S 75D AWD Dual motor $ 26900. Tesla battery and drive unit warranty expires October 17, 2026 unlimited total miles whichever comes first.It has 75K miles. will go up as i drive it daily.Full self driving $99/mo.SummonThe Model S 75D is EPA-rated for 259 miles of range.Air suspension.Full glass roof.For more info please go the tesla website or google it.5YJSA1E22JF270100Full self driving https://youtu.be/z4p5rQymcZw"
