,title,price,year,link,brand,age
0,"colnago eps, campy super record, zipp303wheels, 56 size",2250,,https://charlottesville.craigslist.org/bik/d/henrico-colnago-eps-campy-super-record/7782576163.html,colnago,
1,gt bikes stomper kids/child bicycle,60,,https://charlottesville.craigslist.org/bik/d/charlottesville-gt-bikes-stomper-kids/7783612454.html,gt,
2,e-bike for sale,850,,https://charlottesville.craigslist.org/bik/d/scottsville-bike-for-sale/7788589227.html,missing,
3,2005 cannondale caad5 r600 road bike,400,2005.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2005-cannondale-caad5/7788583772.html,cannondale,20.0
4,vintage schwinn childs bike,75,,https://charlottesville.craigslist.org/bik/d/dyke-vintage-schwinn-childs-bike/7782884453.html,schwinn,
5,** price reduced ** talaria sting electric dirt bike,3800,,https://charlottesville.craigslist.org/bik/d/buena-vista-price-reduced-talaria-sting/7780805425.html,talaria,
6,santa cruz tallboy carbon- large,3000,,https://charlottesville.craigslist.org/bik/d/charlottesville-santa-cruz-tallboy/7787905502.html,missing,
7,schwinn,25,,https://charlottesville.craigslist.org/bik/d/barboursville-schwinn/7787801030.html,schwinn,
8,giant atx 27.5 small w/disc brakes!,200,,https://charlottesville.craigslist.org/bik/d/crozet-giant-atx-275-small-disc-brakes/7787133886.html,giant,
9,unisex bicycle,55,,https://charlottesville.craigslist.org/bik/d/palmyra-unisex-bicycle/7781026024.html,missing,
10,2022 turbo creo sl comp carbon evo,4500,2022.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2022-turbo-creo-sl-comp/7786246408.html,missing,3.0
11,2024 surly karate monkey,1700,2024.0,https://charlottesville.craigslist.org/bik/d/waynesboro-2024-surly-karate-monkey/7785927091.html,surly,1.0
12,bicycle,85,,https://charlottesville.craigslist.org/bik/d/nellysford-bicycle/7785740195.html,missing,
13,1993 specialized rockhopper comp mtb,475,1993.0,https://charlottesville.craigslist.org/bik/d/charlottesville-1993-specialized/7785676402.html,missing,32.0
14,cheap used mountain bike,75,,https://charlottesville.craigslist.org/bik/d/charlottesville-cheap-used-mountain-bike/7784785040.html,missing,
15,woman/girls bicycle,55,,https://charlottesville.craigslist.org/bik/d/charlottesville-woman-girls-bicycle/7784749265.html,missing,
16,framed minnesota fat tire bike (sm/med women's) - $800 (charlottesvill,800,,https://charlottesville.craigslist.org/bik/d/charlottesville-framed-minnesota-fat/7783063830.html,missing,
17,garneau gros louis 2 fat tire bike - $1200,1200,,https://charlottesville.craigslist.org/bik/d/charlottesville-garneau-gros-louis-fat/7783063795.html,missing,
18,"surly ice cream truck fat tire bike - $1,500 (fayetteville)",1500,,https://charlottesville.craigslist.org/bik/d/charlottesville-surly-ice-cream-truck/7783063744.html,surly,
19,aventon level .2,1100,,https://charlottesville.craigslist.org/bik/d/staunton-aventon-level/7782617595.html,aventon,
20,mountain bike with gasoline motor,250,,https://charlottesville.craigslist.org/bik/d/troy-mountain-bike-with-gasoline-motor/7782290246.html,missing,
21,2019 specialized roubaix - 54cm - full ultegra,1965,2019.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2019-specialized/7782197710.html,missing,6.0
22,vintage bicycles,100,,https://charlottesville.craigslist.org/bik/d/elkton-vintage-bicycles/7782071271.html,missing,
23,gary fisher,140,,https://charlottesville.craigslist.org/bik/d/woodberry-forest-gary-fisher/7781133141.html,missing,
24,gt aggressor 24 youth mountain bike,50,,https://charlottesville.craigslist.org/bik/d/crozet-gt-aggressor-24-youth-mountain/7780826114.html,gt,
25,stumpjumper mountain bike,2850,,https://charlottesville.craigslist.org/bik/d/charlottesville-stumpjumper-mountain/7780707695.html,missing,
26,kids bike,50,,https://charlottesville.craigslist.org/bik/d/afton-kids-bike/7780414614.html,missing,
27,norco samurai,150,,https://charlottesville.craigslist.org/bik/d/charlottesville-norco-samurai/7779938758.html,missing,
28,giant trance (2023),2000,2023.0,https://charlottesville.craigslist.org/bik/d/palmyra-giant-trance-2023/7779534238.html,giant,2.0
29,giant xtc hardtail mountain bike,250,,https://charlottesville.craigslist.org/bik/d/palmyra-giant-xtc-hardtail-mountain-bike/7779529241.html,giant,
30,commencal meta ht 20inch wheels,400,,https://charlottesville.craigslist.org/bik/d/charlottesville-commencal-meta-ht/7778753393.html,missing,
31,"price drop-colnago eps, campy super record, zipp303wheels, 52s/56 size",2500,,https://charlottesville.craigslist.org/bik/d/henrico-price-drop-colnago-eps-campy/7771979809.html,missing,
32,"sun electric trike 24""",700,,https://charlottesville.craigslist.org/bik/d/covington-sun-electric-trike-24/7777912115.html,missing,
33,flight line fl26,450,,https://charlottesville.craigslist.org/bik/d/palmyra-flight-line-fl26/7776726846.html,missing,
34,dirt jumper,450,,https://charlottesville.craigslist.org/bik/d/charlottesville-dirt-jumper/7776428023.html,missing,
35,2021 jamis komodo 29er,1000,2021.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2021-jamis-komodo-29er/7776426586.html,missing,4.0
36,2022 kona process 134 dl,2000,2022.0,https://charlottesville.craigslist.org/bik/d/charlottesville-2022-kona-process-134-dl/7776419729.html,missing,3.0
37,fuji  dynamic 12,125,,https://charlottesville.craigslist.org/bik/d/charlottesville-fuji-dynamic-12/7774656844.html,missing,
38,trek 730 multitrack,100,,https://charlottesville.craigslist.org/bik/d/charlottesville-trek-730-multitrack/7775399010.html,trek,
